Drug1,Drug2,Cell_line,Loewe
DB09074,DB11689,ACH-000384,-4.808091
DB11689,DB02546,ACH-000384,-10.23969
DB09074,DB02546,ACH-000384,10.51917
DB11689,DB02546,ACH-000720,24.35461
DB09074,DB02546,ACH-000720,26.04315
DB09074,DB11689,ACH-000720,32.22676
DB11689,DB02546,ACH-000018,-7.503254
DB09074,DB11689,ACH-000018,16.36055
DB09074,DB02546,ACH-000018,-16.14572
DB09074,DB02546,ACH-000522,11.96227
DB09074,DB11689,ACH-000522,3.744975
DB11689,DB02546,ACH-000522,-19.35798
DB11689,DB08916,ACH-000374,52.58064
DB09074,DB11689,ACH-000374,21.89939
DB12015,DB11689,ACH-000374,30.04414
DB11689,DB08916,ACH-000111,24.06469
DB12015,DB11689,ACH-000111,86.12753
DB09074,DB11689,ACH-000111,25.77168
DB09074,DB11689,ACH-000699,4.413948
DB11689,DB08916,ACH-000699,18.44785
DB12015,DB11689,ACH-000699,16.91941
DB12015,DB11689,ACH-000223,13.11135
DB11689,DB08916,ACH-000223,38.84389
DB09074,DB11689,ACH-000223,14.84472
DB11689,DB08916,ACH-000276,17.32624
DB12015,DB11689,ACH-000276,13.85076
DB09074,DB11689,ACH-000276,15.2536
DB09074,DB02546,ACH-000396,15.32469
DB09074,DB11689,ACH-000396,0.8093844
DB11689,DB02546,ACH-000396,-1.760711
DB09074,DB11689,ACH-000971,38.42253
DB05294,DB11689,ACH-000971,-463.7951
DB05294,DB11689,ACH-000552,65.47378
DB09074,DB01590,ACH-000147,2.724216
DB09074,DB06287,ACH-000147,-1.810637
DB09054,DB09074,ACH-000147,23.10432
DB00188,DB09074,ACH-000147,-6.493549
DB00188,DB00317,ACH-000147,-0.5325021
DB11689,DB02546,ACH-000147,17.5707
DB09074,DB06448,ACH-000147,-14.41548
DB11689,DB00947,ACH-000147,13.30189
DB06233,DB00317,ACH-000147,0.2629907
DB09074,DB00947,ACH-000147,-7.383657
DB09074,DB06233,ACH-000147,-4.855682
DB08889,DB09074,ACH-000147,-11.31248
DB08889,DB11689,ACH-000147,1.7802
DB09054,DB11689,ACH-000147,28.69852
DB11689,DB00608,ACH-000147,-25.06931
DB09074,DB00675,ACH-000147,14.79945
DB00317,DB00608,ACH-000147,-20.147
DB09074,DB00928,ACH-000147,37.12158
DB08865,DB11689,ACH-000147,30.82583
DB00675,DB00317,ACH-000147,11.39236
DB06287,DB11689,ACH-000147,45.07368
DB08865,DB00317,ACH-000147,38.40744
DB01590,DB11689,ACH-000147,45.24571
DB06233,DB11689,ACH-000147,38.82661
DB00317,DB00928,ACH-000147,3.152738
DB09054,DB00317,ACH-000147,11.37821
DB06287,DB00317,ACH-000147,7.656669
DB01590,DB00317,ACH-000147,17.32874
DB11689,DB06448,ACH-000147,29.36162
DB11689,DB00675,ACH-000147,58.51056
DB08889,DB00317,ACH-000147,-3.484268
DB06448,DB00317,ACH-000147,27.16323
DB00188,DB11689,ACH-000147,0.9698999
DB00947,DB00317,ACH-000147,-22.97384
DB11689,DB00928,ACH-000147,14.67001
DB09074,DB02546,ACH-000147,-373.361
DB09054,DB11689,ACH-000019,23.64955
DB08865,DB00317,ACH-000019,22.76336
DB06233,DB11689,ACH-000019,21.43864
DB09074,DB06448,ACH-000019,28.06311
DB09074,DB00675,ACH-000019,27.378
DB09054,DB00317,ACH-000019,24.29378
DB00317,DB00608,ACH-000019,0.2362256
DB09074,DB00928,ACH-000019,41.98106
DB09074,DB00947,ACH-000019,9.355383
DB00675,DB00317,ACH-000019,25.52243
DB00188,DB11689,ACH-000019,0.5298164
DB06287,DB11689,ACH-000019,22.73288
DB01590,DB11689,ACH-000019,27.68012
DB08889,DB09074,ACH-000019,-0.1001675
DB00188,DB09074,ACH-000019,0.009701459
DB00317,DB00928,ACH-000019,-0.3446404
DB11689,DB00947,ACH-000019,63.43055
DB08889,DB11689,ACH-000019,0.656989
DB09074,DB08865,ACH-000019,-1.211266
DB08865,DB11689,ACH-000019,10.3263
DB06233,DB00317,ACH-000019,5.881794
DB11689,DB02546,ACH-000019,32.96191
DB09074,DB00608,ACH-000019,-3.899619
DB01590,DB00317,ACH-000019,12.65723
DB11689,DB00675,ACH-000019,78.28401
DB09074,DB06287,ACH-000019,6.767464
DB09074,DB06233,ACH-000019,7.878055
DB11689,DB00928,ACH-000019,37.01866
DB11689,DB00608,ACH-000019,-1.439973
DB06448,DB00317,ACH-000019,18.28717
DB09054,DB09074,ACH-000019,9.951289
DB09074,DB02546,ACH-000019,3.734453
DB00947,DB00317,ACH-000019,15.17539
DB02546,DB00317,ACH-000019,9.624976
DB11689,DB06448,ACH-000019,17.52883
DB08889,DB00317,ACH-000019,0.1187095
DB09074,DB01590,ACH-000019,14.55275
DB00188,DB00317,ACH-000019,-0.3387847
DB06287,DB00317,ACH-000019,8.19208
DB11689,DB08916,ACH-000288,-5.554851
DB09074,DB11689,ACH-000288,8.742387
DB12015,DB11689,ACH-000288,7.754334
DB11689,DB08916,ACH-000148,-27.19919
DB09074,DB11689,ACH-000148,15.11696
DB12015,DB11689,ACH-000148,10.50431
DB09074,DB11689,ACH-000768,13.91307
DB11689,DB08916,ACH-000768,20.14626
DB12015,DB11689,ACH-000768,40.67861
DB05294,DB11689,ACH-001039,2.040458
DB09074,DB11689,ACH-001039,9.601161
DB05294,DB11689,ACH-000651,12.82171
DB12015,DB11689,ACH-002159,40.32936
DB11689,DB08916,ACH-002159,32.81099
DB09074,DB11689,ACH-002159,2.40463
DB09074,DB11689,ACH-000896,29.54453
DB11689,DB02546,ACH-000896,21.35141
DB09074,DB02546,ACH-000896,17.14573
DB12015,DB11689,ACH-000536,54.16375
DB11689,DB08916,ACH-000536,53.61903
DB09074,DB11689,ACH-000536,8.212417
DB09074,DB11689,ACH-000212,-18.07161
DB11689,DB08916,ACH-000212,6.416326
DB05294,DB11689,ACH-000580,26.51374
DB12015,DB11689,ACH-000258,40.39499
DB09074,DB11689,ACH-000258,26.75245
DB11689,DB08916,ACH-000258,35.978
DB00317,DB00608,ACH-000277,-33.59685
DB09054,DB00317,ACH-000277,-2.82384
DB11689,DB02546,ACH-000277,-11.08078
DB09074,DB00675,ACH-000277,-0.1039816
DB00317,DB00928,ACH-000277,10.11844
DB08889,DB00317,ACH-000277,-2.337164
DB11689,DB00947,ACH-000277,27.09161
DB06287,DB00317,ACH-000277,29.01981
DB06448,DB00317,ACH-000277,-9.457953
DB09074,DB01590,ACH-000277,23.90399
DB02546,DB00317,ACH-000277,2.087635
DB00188,DB09074,ACH-000277,4.460739
DB06233,DB11689,ACH-000277,41.93529
DB09074,DB06287,ACH-000277,-5.094899
DB09074,DB00928,ACH-000277,-1.802833
DB09074,DB06448,ACH-000277,-5.159402
DB08889,DB09074,ACH-000277,8.885757
DB08889,DB11689,ACH-000277,8.195281
DB06287,DB11689,ACH-000277,40.10703
DB06233,DB00317,ACH-000277,12.5641
DB11689,DB06448,ACH-000277,36.75737
DB09074,DB02546,ACH-000277,-24.28504
DB00675,DB00317,ACH-000277,23.42445
DB09054,DB11689,ACH-000277,-2.784894
DB00947,DB00317,ACH-000277,31.82179
DB09074,DB06233,ACH-000277,-10.39217
DB12015,DB11689,ACH-000624,87.84604
DB11689,DB08916,ACH-000624,26.1741
DB09074,DB11689,ACH-000624,57.23506
DB11689,DB08916,ACH-000668,55.91031
DB09074,DB11689,ACH-000668,2.871956
DB11689,DB02546,ACH-000547,23.35662
DB09074,DB02546,ACH-000547,1.82154
DB09074,DB11689,ACH-000547,22.42317
DB09074,DB11689,ACH-000724,11.52374
DB09074,DB02546,ACH-000724,-5.843584
DB11689,DB02546,ACH-000724,17.68367
DB09074,DB02546,ACH-000486,-2.60927
DB05294,DB11689,ACH-000007,75.74455
DB09074,DB11689,ACH-000007,-1.494769
DB05294,DB01590,ACH-000759,-1.002704
DB00188,DB11689,ACH-000759,3.750581
DB11689,DB02546,ACH-000759,7.343995
DB06233,DB11689,ACH-000759,55.34572
DB00188,DB00317,ACH-000759,4.609664
DB01590,DB11689,ACH-000759,56.89395
DB08889,DB11689,ACH-000759,9.017569
DB06233,DB00317,ACH-000759,53.72978
DB05294,DB08889,ACH-000759,-5.70495
DB09074,DB00675,ACH-000759,-6.802978
DB11689,DB06448,ACH-000759,-22.54243
DB05294,DB02546,ACH-000759,0.3527345
DB09074,DB02546,ACH-000759,-95.074
DB05294,DB09054,ACH-000759,-5.965729
DB05294,DB06448,ACH-000759,-47.24997
DB06287,DB00317,ACH-000759,63.77319
DB09074,DB01590,ACH-000759,17.82031
DB08889,DB00317,ACH-000759,2.343314
DB09074,DB06287,ACH-000759,-42.18884
DB08889,DB00317,ACH-000934,76.93383
DB09074,DB01590,ACH-000934,25.23473
DB05294,DB06448,ACH-000934,-11.38014
DB06448,DB00317,ACH-000934,1.968731
DB09074,DB00608,ACH-000934,-6.401806
DB06233,DB11689,ACH-000934,28.15164
DB09054,DB11689,ACH-000934,-3.228115
DB06233,DB00317,ACH-000934,29.72487
DB00188,DB00317,ACH-000934,7.623455
DB05294,DB00947,ACH-000934,-20.07613
DB09074,DB06233,ACH-000934,8.981603
DB11689,DB00947,ACH-000934,40.65547
DB05294,DB00608,ACH-000934,5.407729
DB09074,DB06448,ACH-000934,5.201494
DB00188,DB09074,ACH-000934,15.14936
DB01590,DB00317,ACH-000934,27.1817
DB00317,DB00928,ACH-000934,-3.740448
DB05294,DB09054,ACH-000934,-12.3772
DB11689,DB06448,ACH-000934,-4.136747
DB09074,DB06287,ACH-000934,11.02104
DB11689,DB00675,ACH-000934,39.14579
DB00947,DB00317,ACH-000934,35.73399
DB00317,DB00608,ACH-000934,-10.63479
DB02546,DB00317,ACH-000934,2.086177
DB09074,DB08865,ACH-000934,-8.534224
DB05294,DB00188,ACH-000934,11.2793
DB11689,DB02546,ACH-000934,16.34115
DB08889,DB11689,ACH-000934,7.683218
DB05294,DB00675,ACH-000934,-22.01446
DB00675,DB00317,ACH-000934,18.65743
DB06287,DB11689,ACH-000934,20.81588
DB08889,DB09074,ACH-000934,22.23788
DB09074,DB00947,ACH-000934,2.62208
DB09074,DB02546,ACH-000934,-3.133127
DB05294,DB00928,ACH-000934,-41.26294
DB05294,DB02546,ACH-000934,16.84223
DB08865,DB00317,ACH-000934,0.5285004
DB05294,DB06233,ACH-000934,50.82036
DB09054,DB00317,ACH-000934,6.611885
DB01590,DB11689,ACH-000934,25.11706
DB11689,DB00608,ACH-000934,3.913174
DB09054,DB09074,ACH-000934,-8.431671
DB00188,DB11689,ACH-000934,4.813111
DB11689,DB00928,ACH-000934,-0.18441
DB08865,DB11689,ACH-000934,12.48534
DB09074,DB00675,ACH-000934,-2.601325
DB05294,DB06287,ACH-000934,59.52899
DB05294,DB01590,ACH-000934,38.76128
DB06287,DB00317,ACH-000934,21.61309
DB09074,DB00928,ACH-000934,-11.43552
DB05294,DB08889,ACH-000934,8.677525
DB05294,DB08865,ACH-000934,-17.57092
DB12015,DB11689,ACH-000910,20.21918
DB09074,DB11689,ACH-000910,-8.067054
DB11689,DB08916,ACH-000910,-18.64662
DB12015,DB11689,ACH-000849,26.93535
DB11689,DB08916,ACH-000849,100.9543
DB09074,DB11689,ACH-000849,28.26594
DB05294,DB11689,ACH-000403,26.29952
DB09074,DB11689,ACH-000403,9.530346
DB05294,DB11689,ACH-000943,11.05632
DB05294,DB11689,ACH-000958,69.31692
DB09074,DB11689,ACH-000958,19.79372
DB09074,DB11689,ACH-000421,10.42186
DB05294,DB11689,ACH-000421,51.43114
DB05294,DB11689,ACH-000680,63.81369
DB09074,DB11689,ACH-000545,13.12148
DB11689,DB02546,ACH-000545,12.69299
DB09074,DB02546,ACH-000545,-11.05425
DB08889,DB11689,ACH-000568,3.686301
DB11689,DB00947,ACH-000568,7.355941
DB08889,DB09074,ACH-000568,8.751828
DB11689,DB00928,ACH-000568,-7.546655
DB01590,DB00317,ACH-000568,-8.337113
DB02546,DB00317,ACH-000568,-15.48061
DB09074,DB06448,ACH-000568,5.643245
DB05294,DB00928,ACH-000568,0.353872
DB08865,DB11689,ACH-000568,2.754129
DB09074,DB00947,ACH-000568,1.594285
DB05294,DB06448,ACH-000568,-3.736342
DB11689,DB06448,ACH-000568,12.09195
DB05294,DB06287,ACH-000568,14.70361
DB09074,DB02546,ACH-000568,14.92222
DB11689,DB02546,ACH-000568,-12.54154
DB09074,DB08865,ACH-000568,15.41471
DB09074,DB06287,ACH-000568,-7.674072
DB09074,DB00675,ACH-000568,-1.27391
DB09074,DB01590,ACH-000568,-7.220526
DB00947,DB00317,ACH-000568,5.359146
DB05294,DB00675,ACH-000568,6.112971
DB00188,DB00317,ACH-000568,4.348672
DB06233,DB11689,ACH-000568,-40.86205
DB05294,DB02546,ACH-000568,-23.95355
DB00675,DB00317,ACH-000568,-27.26013
DB01590,DB11689,ACH-000568,-32.51767
DB05294,DB08889,ACH-000568,3.368649
DB05294,DB08865,ACH-000568,-10.82838
DB00317,DB00608,ACH-000568,-5.292592
DB09074,DB06233,ACH-000568,-54.12504
DB00188,DB11689,ACH-000568,2.100171
DB09074,DB00608,ACH-000568,-3.374232
DB08889,DB00317,ACH-000568,3.764676
DB05294,DB00947,ACH-000568,13.74619
DB09074,DB00928,ACH-000568,11.06384
DB11689,DB00675,ACH-000568,-23.61443
DB00317,DB00928,ACH-000568,8.299019
DB06448,DB00317,ACH-000568,-2.708082
DB00188,DB09074,ACH-000568,8.835576
DB06287,DB00317,ACH-000568,-13.63159
DB05294,DB00188,ACH-000568,4.594764
DB05294,DB09054,ACH-000568,-13.32727
DB09054,DB11689,ACH-000568,1.24378
DB11689,DB00608,ACH-000568,-10.97183
DB09054,DB00317,ACH-000568,8.030644
DB09054,DB09074,ACH-000568,0.5893591
DB05294,DB01590,ACH-000568,16.65906
DB05294,DB06233,ACH-000568,7.719658
DB06233,DB00317,ACH-000568,-3.12338
DB05294,DB00608,ACH-000568,-5.950691
DB06287,DB11689,ACH-000568,-24.29211
DB09074,DB11689,ACH-000802,-10.96748
DB11689,DB02546,ACH-000802,47.11374
DB09074,DB02546,ACH-000802,1.09568
DB12015,DB11689,ACH-000856,28.54366
DB09074,DB11689,ACH-000856,-1.153691
DB11689,DB08916,ACH-000856,3.35151
DB12015,DB11689,ACH-000902,39.60271
DB11689,DB08916,ACH-000902,-4.482228
DB09074,DB11689,ACH-000902,26.62077
DB09074,DB11689,ACH-000621,25.27635
DB11689,DB08916,ACH-000621,30.31395
DB12015,DB11689,ACH-000621,30.46969
DB05294,DB08889,ACH-000927,1.472571
DB08889,DB00317,ACH-000927,3.82754
DB09074,DB02546,ACH-000927,-23.67184
DB06287,DB11689,ACH-000927,17.44481
DB11689,DB00947,ACH-000927,35.69185
DB09074,DB00675,ACH-000927,-1.333247
DB09074,DB06448,ACH-000927,3.640768
DB05294,DB09054,ACH-000927,-5.67444
DB06287,DB00317,ACH-000927,26.49763
DB05294,DB08865,ACH-000927,-16.49953
DB09074,DB00928,ACH-000927,-5.69783
DB08889,DB09074,ACH-000927,0.5644452
DB11689,DB02546,ACH-000927,-32.16428
DB08865,DB11689,ACH-000927,-6.265856
DB01590,DB11689,ACH-000927,22.55574
DB06233,DB00317,ACH-000927,28.78857
DB09074,DB00947,ACH-000927,1.2367
DB09074,DB06287,ACH-000927,14.86323
DB09074,DB08865,ACH-000927,10.17721
DB09054,DB09074,ACH-000927,-1.582984
DB11689,DB00928,ACH-000927,19.64565
DB09074,DB00608,ACH-000927,4.449233
DB05294,DB06233,ACH-000927,-5.72817
DB00947,DB00317,ACH-000927,46.3284
DB00317,DB00928,ACH-000927,5.710778
DB08889,DB11689,ACH-000927,6.141916
DB00317,DB00608,ACH-000927,3.304026
DB00188,DB09074,ACH-000927,-1.482682
DB00675,DB00317,ACH-000927,19.25265
DB09054,DB00317,ACH-000927,12.4573
DB11689,DB00608,ACH-000927,30.64223
DB00188,DB00317,ACH-000927,2.621126
DB11689,DB06448,ACH-000927,32.91745
DB05294,DB01590,ACH-000927,7.387276
DB01590,DB00317,ACH-000927,23.89375
DB05294,DB00188,ACH-000927,-0.2554001
DB05294,DB06448,ACH-000927,-5.788133
DB09074,DB06233,ACH-000927,6.28038
DB09054,DB11689,ACH-000927,-5.070071
DB05294,DB06287,ACH-000927,16.45504
DB05294,DB02546,ACH-000927,-28.81973
DB09074,DB01590,ACH-000927,2.070503
DB05294,DB00608,ACH-000927,-9.595333
DB06448,DB00317,ACH-000927,18.836
DB05294,DB00928,ACH-000927,-28.40634
DB00188,DB11689,ACH-000927,-0.6914248
DB06233,DB11689,ACH-000927,24.08328
DB11689,DB00675,ACH-000927,21.70733
DB02546,DB00317,ACH-000927,-4.819542
DB08865,DB00317,ACH-000927,8.168612
DB09074,DB01590,ACH-000783,20.99091
DB00188,DB00317,ACH-000783,-2.615489
DB09074,DB02546,ACH-000783,-54.12328
DB09074,DB06233,ACH-000783,-1.925262
DB09074,DB00928,ACH-000783,43.71329
DB06287,DB11689,ACH-000783,20.51479
DB09074,DB00675,ACH-000783,19.2145
DB11689,DB00608,ACH-000783,7.57397
DB08889,DB11689,ACH-000783,0.4238527
DB00188,DB11689,ACH-000783,-0.3464269
DB11689,DB02546,ACH-000783,13.27115
DB09074,DB08865,ACH-000783,-5.655198
DB09054,DB09074,ACH-000783,8.119583
DB06233,DB00317,ACH-000783,1.793347
DB01590,DB11689,ACH-000783,8.001239
DB08889,DB00317,ACH-000783,7.902742
DB11689,DB08916,ACH-000783,17.71496
DB08889,DB09074,ACH-000783,11.51333
DB11689,DB00947,ACH-000783,100.4789
DB06287,DB00317,ACH-000783,-2.763845
DB11689,DB06448,ACH-000783,30.00052
DB09074,DB06287,ACH-000783,-7.350246
DB09074,DB11689,ACH-000783,7.932014
DB00947,DB00317,ACH-000783,1.606899
DB06233,DB11689,ACH-000783,37.89832
DB01590,DB00317,ACH-000783,2.036655
DB11689,DB00928,ACH-000783,17.25854
DB12015,DB11689,ACH-000783,7.321539
DB00188,DB09074,ACH-000783,5.919184
DB11689,DB08916,ACH-000573,27.72996
DB09074,DB11689,ACH-000573,13.98427
DB12015,DB11689,ACH-000573,30.24389
DB09074,DB11689,ACH-000352,9.490913
DB11689,DB08916,ACH-000352,-30.01339
DB12015,DB11689,ACH-000352,-9.706026
DB06233,DB00317,ACH-000349,-5.600449
DB05294,DB00928,ACH-000349,35.97712
DB09054,DB09074,ACH-000349,10.81951
DB00188,DB09074,ACH-000349,4.71525
DB00188,DB00317,ACH-000349,3.620315
DB09074,DB01590,ACH-000349,8.03426
DB00675,DB00317,ACH-000349,-8.247208
DB05294,DB06287,ACH-000349,-0.5142263
DB05294,DB06233,ACH-000349,-0.6480235
DB05294,DB00947,ACH-000349,-0.262049
DB06287,DB00317,ACH-000349,1.717822
DB09074,DB02546,ACH-000349,-21.82329
DB11689,DB00928,ACH-000349,21.73886
DB00317,DB00928,ACH-000349,-0.6727152
DB05294,DB00608,ACH-000349,-3.434245
DB05294,DB09054,ACH-000349,13.56923
DB11689,DB00947,ACH-000349,5.087309
DB05294,DB00675,ACH-000349,15.16085
DB06448,DB00317,ACH-000349,9.451063
DB06287,DB11689,ACH-000349,13.30117
DB08889,DB11689,ACH-000349,3.93701
DB09074,DB06287,ACH-000349,1.81562
DB00317,DB00608,ACH-000349,5.139123
DB00947,DB00317,ACH-000349,-0.82097
DB05294,DB00188,ACH-000349,4.064083
DB00188,DB11689,ACH-000349,5.073172
DB09074,DB00928,ACH-000349,30.68019
DB06233,DB11689,ACH-000349,8.126512
DB01590,DB00317,ACH-000349,-0.08741286
DB08865,DB00317,ACH-000349,14.85404
DB05294,DB02546,ACH-000349,13.49794
DB05294,DB08865,ACH-000349,15.27734
DB11689,DB02546,ACH-000349,17.30769
DB09074,DB08865,ACH-000349,7.500572
DB09074,DB06233,ACH-000349,1.976573
DB08889,DB09074,ACH-000349,3.608823
DB09054,DB00317,ACH-000349,7.217547
DB05294,DB06448,ACH-000349,7.691899
DB11689,DB00608,ACH-000349,-6.881967
DB11689,DB00675,ACH-000349,31.11011
DB09074,DB00947,ACH-000349,-1.447894
DB02546,DB00317,ACH-000349,12.28016
DB08865,DB11689,ACH-000349,-3.920094
DB08889,DB00317,ACH-000349,4.069996
DB05294,DB08889,ACH-000349,3.445811
DB09074,DB06448,ACH-000349,13.01202
DB09074,DB00608,ACH-000349,47.85436
DB09074,DB00675,ACH-000349,18.49567
DB01590,DB11689,ACH-000349,6.971623
DB05294,DB01590,ACH-000349,-2.143821
DB05294,DB00947,ACH-000019,6.12
DB05294,DB00317,ACH-000849,16.46
DB02546,DB00928,ACH-000288,0.17
DB08865,DB00188,ACH-000768,-0.33
DB00188,DB01590,ACH-000552,-9.47
DB02546,DB08865,ACH-000148,-14.58
DB05294,DB00317,ACH-000651,1.5
DB00317,DB00947,ACH-000148,-9.72
DB01590,DB00317,ACH-000768,-0.84
DB05294,DB02546,ACH-000288,-8.01
DB00188,DB00947,ACH-000147,8.62
DB00188,DB05294,ACH-000651,-7.79
DB05294,DB00188,ACH-000971,-3.96
DB02546,DB06233,ACH-000147,9.07
DB05294,DB08865,ACH-000651,-7.185
DB00317,DB05294,ACH-000148,3.42
DB00317,DB00188,ACH-000148,3.33
DB00947,DB00188,ACH-000768,-48.39
DB00947,DB08865,ACH-000019,4.07
DB05294,DB00947,ACH-000849,0.52
DB05294,DB02546,ACH-000148,-27.79
DB00947,DB02546,ACH-000971,2.88
DB00188,DB05294,ACH-000971,-3.96
DB00947,DB01590,ACH-000288,15.35
DB00188,DB01590,ACH-000288,0.64
DB00928,DB00317,ACH-000849,-2.46
DB00188,DB01590,ACH-000019,-9.48
DB08865,DB02546,ACH-000971,-8.75
DB08865,DB00928,ACH-000552,-8.48
DB02546,DB01590,ACH-000552,-4.26
DB02546,DB00317,ACH-000971,-3.02
DB00317,DB00928,ACH-000849,-2.46
DB01590,DB05294,ACH-000651,0.08
DB00188,DB00947,ACH-000971,-20.76
DB00188,DB00928,ACH-000849,-11.54
DB00947,DB00317,ACH-000148,-9.72
DB02546,DB00928,ACH-000768,-12.71
DB01590,DB00317,ACH-000651,3.76
DB00928,DB08865,ACH-000147,3.45
DB02546,DB00928,ACH-000148,0.74
DB02546,DB00188,ACH-000019,-9.88
DB00317,DB00188,ACH-000019,-0.22
DB08865,DB00188,ACH-000147,2.63
DB00947,DB08865,ACH-000147,0
DB00947,DB01590,ACH-000147,13.89
DB00317,DB00947,ACH-000552,5.63
DB00188,DB05294,ACH-000552,1.35
DB00188,DB00317,ACH-000651,-7.55
DB05294,DB00947,ACH-000651,-2.96
DB02546,DB05294,ACH-000552,-13.39
DB00317,DB00928,ACH-000288,2.44
DB08865,DB00317,ACH-000651,-15.77
DB01590,DB00188,ACH-000148,-1.08
DB01590,DB08865,ACH-000768,-1.5
DB08865,DB00188,ACH-000971,-3.16
DB02546,DB01590,ACH-000019,-3.15
DB00188,DB00317,ACH-000288,-29.14
DB00947,DB08865,ACH-000971,-3.85
DB08865,DB00947,ACH-000148,3.04
DB05294,DB00947,ACH-000971,-3.77
DB00928,DB02546,ACH-000147,-2.58
DB00188,DB00947,ACH-000849,-48.38
DB00947,DB05294,ACH-000148,-3.66
DB00317,DB00947,ACH-000019,-2.76
DB05294,DB01590,ACH-000148,-13.52
DB05294,DB01590,ACH-000288,-15.77
DB01590,DB08865,ACH-000147,-11.12
DB00188,DB00317,ACH-000971,-5.02
DB00928,DB01590,ACH-000019,-3.33
DB01590,DB02546,ACH-000651,0.76
DB00947,DB00317,ACH-000147,4.95
DB01590,DB00947,ACH-000971,-51.77
DB00947,DB05294,ACH-000651,-2.96
DB00947,DB08865,ACH-000651,-9.24
DB08865,DB00928,ACH-000849,-17.33
DB01590,DB00188,ACH-000019,-9.48
DB00928,DB00317,ACH-000971,2.39
DB01590,DB08865,ACH-000651,-0.9
DB00188,DB02546,ACH-000288,-28.57
DB00188,DB02546,ACH-000849,-23.38
DB01590,DB00947,ACH-000849,20.15
DB00928,DB05294,ACH-000768,-4.25
DB00317,DB02546,ACH-000147,-0.92
DB01590,DB00928,ACH-000552,2.35
DB05294,DB02546,ACH-000768,18.11
DB00317,DB02546,ACH-000768,10.35
DB00947,DB02546,ACH-000849,-1.78
DB00188,DB00928,ACH-000768,-4.95
DB00947,DB01590,ACH-000971,-51.77
DB08865,DB00947,ACH-000971,-3.85
DB01590,DB05294,ACH-000288,-15.77
DB00928,DB01590,ACH-000147,0.38
DB08865,DB01590,ACH-000019,-7.13
DB00947,DB02546,ACH-000288,-0.8
DB08865,DB00928,ACH-000148,-11.35
DB00947,DB00188,ACH-000971,-20.76
DB00928,DB05294,ACH-000849,0.81
DB00947,DB00928,ACH-000019,-9.88
DB00928,DB01590,ACH-000768,2
DB02546,DB01590,ACH-000849,-11.24
DB01590,DB00928,ACH-000651,1.57
DB00317,DB02546,ACH-000019,-6.99
DB00928,DB05294,ACH-000288,-6.23
DB00188,DB01590,ACH-000849,0.08
DB05294,DB00188,ACH-000148,3.61
DB05294,DB00188,ACH-000552,1.35
DB00188,DB05294,ACH-000768,-0.78
DB00928,DB08865,ACH-000971,-1.43
DB02546,DB05294,ACH-000019,-20.68
DB00317,DB00188,ACH-000147,-0.29
DB08865,DB01590,ACH-000849,-9.06
DB00947,DB00317,ACH-000651,-1.57
DB01590,DB00188,ACH-000147,-0.26
DB08865,DB01590,ACH-000552,-5.13
DB05294,DB00947,ACH-000768,-4.04
DB00317,DB00188,ACH-000288,-29.14
DB00317,DB01590,ACH-000288,2.31
DB05294,DB01590,ACH-000768,-6.91
DB05294,DB01590,ACH-000552,-10.33
DB00928,DB00188,ACH-000288,-6.56
DB01590,DB00188,ACH-000552,-9.47
DB08865,DB00317,ACH-000768,-36.59
DB00947,DB02546,ACH-000651,1.46
DB02546,DB01590,ACH-000651,0.76
DB08865,DB00188,ACH-000288,-62.06
DB00317,DB08865,ACH-000651,-15.77
DB00188,DB08865,ACH-000849,-6.14
DB06233,DB00188,ACH-000943,-2.32
DB01590,DB00947,ACH-000651,11.59
DB05294,DB00928,ACH-000651,1.16
DB02546,DB00928,ACH-000651,-3.75
DB00928,DB02546,ACH-000148,0.74
DB01590,DB05294,ACH-000552,-10.33
DB05294,DB01590,ACH-000849,-4.83
DB00188,DB00928,ACH-000552,-9.46
DB01590,DB05294,ACH-000849,-4.83
DB05294,DB00928,ACH-000768,-4.25
DB00188,DB01590,ACH-000148,-1.08
DB08865,DB01590,ACH-000651,-0.9
DB02546,DB00317,ACH-000288,-4.07
DB00928,DB02546,ACH-000019,-35.37
DB00188,DB00928,ACH-000651,-21
DB00928,DB08865,ACH-000019,-2.77
DB05294,DB02546,ACH-000651,-9.18
DB00188,DB08865,ACH-000148,1.82
DB01590,DB08865,ACH-000148,-13.22
DB00188,DB00317,ACH-000147,-0.29
DB01590,DB02546,ACH-000552,-4.26
DB00947,DB05294,ACH-000971,-3.77
DB05294,DB00317,ACH-000768,-16.3
